dadoem;1,25;0,6;0,975;0,85;1;1;0,916666666666667;0,583333333333333;0,708333333333333;0,666666666666667;0,583333333333333;0,541666666666667;0,666666666666667;0,625;0,666666666666666;0,625;0,541666666666666;
readpick;1;0,75;1,125;0,75;0,75;0,75;0,583333333333333;0,583333333333333;0,708333333333333;0,708333333333333;0,708333333333333;0,708333333333333;0,625;0,625;0,625;0,625;0,625;1;1;1;1;1;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,916666666666667;0,916666666666667;0,833333333333333;0,833333333333333;0,833333333333333;0,75;0,666666666666667;0,666666666666667;0,666666666666667;0,791666666666667;0,791666666666667;0,625;0,625;0,625;0,625;0,6875;0,6875;0,645833333333333;0,645833333333333;0,645833333333333;0,645833333333333;0,645833333333333;0,645833333333333;0,666666666666667;0,704166666666667;0,704166666666667;0,704166666666667;0,679166666666667;0,679166666666667;0,679166666666667;0,679166666666667;0,679166666666667;0,679166666666667;
savehouse420;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
cyberpunk_nash;1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,01666666666667;1,01666666666667;1,26666666666667;1,35;1,35;1,35;1;1;1;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,13333333333333;1,13333333333333;1,13333333333333;1,13333333333333;1,13333333333333;1,13333333333333;1,38333333333333;1,38333333333333;1,38333333333333;1,63333333333333;1,63333333333333;1,63333333333333;1,63333333333333;1,63333333333333;1,63333333333333;1,63333333333333;1,55;1,55;1,55;1,55;1,55;1,5;1,5;1,575;1,575;1,575;1,555;1,53;1,53;1,53;
dobrozhelatelniememesi;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
akademvsratkino;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
canikms;1;1;1;1;1;1;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
ru2ch;1;1;1;1;1;1,375;1,375;1,375;1,375;1,375;1,375;1,375;1,20833333333333;1,04166666666667;1,04166666666667;0,875;0,875;1;1;1;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,55;1,55;1,55;1,21666666666667;1,46666666666667;1,46666666666667;1,46666666666667;1,46666666666667;1,46666666666667;1,46666666666667;1,71666666666667;1,71666666666667;1,84166666666667;1,75833333333333;1,75833333333333;1,675;1,8;1,8;1,8;1,8;1,78333333333333;1,88333333333333;1,88333333333333;1,83333333333333;1,83333333333333;1,86333333333333;1,83833333333333;1,83833333333333;1,83833333333333;
slashpicslash;1;1,25;1;1;1;1;0,916666666666667;0,916666666666667;0,833333333333333;0,791666666666667;0,708333333333333;0,708333333333333;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;1;1;1;1;1;1;1;1;1;0,958333333333333;1,08333333333333;1,08333333333333;1,08333333333333;1,08333333333333;1,08333333333333;1,08333333333333;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;1,04166666666667;1,29166666666667;1,20833333333333;1,54166666666667;1,54166666666667;1,54166666666667;1,66666666666667;1,66666666666667;1,66666666666667;1,66666666666667;1,58333333333333;1,58333333333333;1,58333333333333;1,58333333333333;1,58333333333333;1,58333333333333;1,58333333333333;1,61333333333333;1,59333333333333;1,59333333333333;1,59333333333333;1,59333333333333;
e_picture;1;1,375;0,525;0,9;1;1;0,916666666666667;0,75;0,666666666666667;0,625;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;1;1;1,0625;1,0625;0,979166666666667;0,979166666666667;0,979166666666667;0,895833333333333;0,8125;0,770833333333333;0,770833333333333;0,770833333333333;0,770833333333333;0,732603092783505;0,732603092783505;0,732603092783505;0,732603092783505;0,732603092783505;0,732603092783505;0,732603092783505;0,732603092783505;0,732603092783505;0,732603092783505;0,732603092783505;0,690936426116838;0,607603092783505;0,607603092783505;0,607603092783505;0,607603092783505;0,670103092783505;0,732603092783505;0,732603092783505;0,795103092783505;0,815936426116838;0,815936426116838;0,815936426116838;0,815936426116838;0,853436426116838;0,828436426116838;0,828436426116838;0,828436426116838;0,828436426116838;0,828436426116838;0,828436426116838;
about50posts;1;1;0,875;1,25;1,25;0,875;0,875;0,791666666666667;0,791666666666667;0,75;0,875;0,875;0,791666666666667;0,708333333333333;0,708333333333333;0,625;0,625;1;1;1;1;1;1;1;0,958333333333333;0,958333333333333;0,958333333333333;0,791666666666667;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,708333333333333;0,708333333333333;0,708333333333333;0,708333333333333;0,708333333333333;0,708333333333333;0,770833333333333;0,770833333333333;0,770833333333333;0,770833333333333;0,770833333333333;0,808333333333333;0,808333333333333;0,808333333333333;0,808333333333333;0,808333333333333;0,808333333333333;
